1979 1 14007  0.80
1979 1 14572  0.70
1979 1 14472  0.00
1979 1 14617  2.80
1979 1 1  52  2.00
1979 1 14083  1.40
1979 1 14004  0.60
1979 1 14079  1.30
1979 1 14954  0.60
1979 1 1 488  2.80
1979 1 1 483  2.00
1979 1 24007  1.40
1979 1 24572  1.00
1979 1 24472  2.80
1979 1 24617  0.20
1979 1 2  52  0.50
1979 1 24083  0.40
1979 1 24004  0.30
1979 1 24079  0.60
1979 1 24954  0.20
1979 1 2 488  0.90
1979 1 2 483  1.50
1979 1 34007  1.40
1979 1 34572  0.00
1979 1 34472  0.00
1979 1 34617  3.30
1979 1 3  52  0.00
1979 1 34083  2.00
1979 1 34004  0.10
1979 1 34079  0.00
1979 1 34954  0.10
1979 1 3 488  2.40
1979 1 3 483  2.20
1979 1 44007  0.00
1979 1 44572  0.00
1979 1 44472  0.00
1979 1 44617  1.70
1979 1 4  52  0.10
1979 1 44083  0.20
1979 1 44004  0.00
1979 1 44079  0.00
1979 1 44954  0.30
1979 1 4 488  0.80
1979 1 4 483  0.70
1979 1 54007  0.00
1979 1 54572  0.00
1979 1 54472  0.00
1979 1 54617  0.00
1979 1 5  52  0.00
1979 1 54083  0.00
1979 1 54004  0.00
1979 1 54079  0.40
1979 1 54954  0.10
1979 1 5 488  0.00
1979 1 5 483  0.60
1979 1 64007  0.00
1979 1 64572  0.00
1979 1 64472  0.00
1979 1 64617  0.00
1979 1 6  52  0.00
1979 1 64083  0.00
1979 1 64004  0.00
1979 1 64079  0.00
1979 1 64954  0.00
1979 1 6 488  0.00
1979 1 6 483  0.00
1979 1 74007  0.00
1979 1 74572  0.00
1979 1 74472  0.00
1979 1 74617  0.00
1979 1 7  52  0.00
1979 1 74083  0.00
1979 1 74004  0.00
1979 1 74079  0.00
1979 1 74954  0.00
1979 1 7 488  0.00
1979 1 7 483  0.80
1979 1 84007  0.20
1979 1 84572  0.00
1979 1 84472  1.20
1979 1 84617  0.50
1979 1 8  52  0.00
1979 1 84083  0.00
1979 1 84004  0.90
1979 1 84079  0.00
1979 1 84954  2.00
1979 1 8 488  0.00
1979 1 8 483  2.60
1979 1 94007  3.30
1979 1 94572  2.60
1979 1 94472  1.90
1979 1 94617  3.80
1979 1 9  52  2.10
1979 1 94083  4.20
1979 1 94004  4.20
1979 1 94079  0.90
1979 1 94954  0.90
1979 1 9 488  1.90
1979 1 9 483  0.80
1979 1104007 11.60
1979 1104572  1.40
1979 1104472  0.70
1979 1104617  7.60
1979 110  52  0.40
1979 1104083  2.00
1979 1104004  0.30
1979 1104079  0.00
1979 1104954  0.00
1979 110 488  1.40
1979 110 483  0.00
1979 1114007  5.40
1979 1114572  2.90
1979 1114472  3.50
1979 1114617  8.60
1979 111  52  0.10
1979 1114083  6.80
1979 1114004  0.90
1979 1114079  2.80
1979 1114954  0.00
1979 111 488  2.40
1979 111 483  0.60
1979 1124007  6.10
1979 1124572  0.80
1979 1124472  4.10
1979 1124617 21.10
1979 112  52  1.00
1979 1124083 11.00
1979 1124004  1.70
1979 1124079  4.40
1979 1124954  2.10
1979 112 488  9.30
1979 112 483  4.50
1979 1134007  2.80
1979 1134572  0.00
1979 1134472  0.90
1979 1134617  8.40
1979 113  52  0.20
1979 1134083  4.90
1979 1134004  0.20
1979 1134079  4.50
1979 1134954  0.60
1979 113 488  4.40
1979 113 483  0.90
1979 1144007  2.00
1979 1144572  0.60
1979 1144472  1.50
1979 1144617  0.80
1979 114  52  0.60
1979 1144083  2.60
1979 1144004  0.80
1979 1144079  5.80
1979 1144954  0.50
1979 114 488  2.50
1979 114 483  2.90
1979 1154007  0.30
1979 1154572  0.20
1979 1154472  0.30
1979 1154617  0.70
1979 115  52  0.50
1979 1154083  1.20
1979 1154004  0.50
1979 1154079  6.70
1979 1154954  2.10
1979 115 488  4.10
1979 115 483  4.60
1979 1164007  0.30
1979 1164572  6.40
1979 1164472  5.90
1979 1164617  2.20
1979 116  52  4.60
1979 1164083  5.70
1979 1164004  4.60
1979 1164079  7.70
1979 1164954  9.30
1979 116 488  8.10
1979 116 483  7.60
1979 1174007  0.00
1979 1174572  0.00
1979 1174472  0.00
1979 1174617  0.00
1979 117  52  0.10
1979 1174083  0.00
1979 1174004  0.00
1979 1174079  0.00
1979 1174954  0.00
1979 117 488  0.90
1979 117 483  0.00
1979 1184007  0.00
1979 1184572  0.00
1979 1184472  0.40
1979 1184617  0.00
1979 118  52  0.00
1979 1184083  0.00
1979 1184004  0.00
1979 1184079  0.00
1979 1184954  0.00
1979 118 488  2.20
1979 118 483  0.00
1979 1194007  0.00
1979 1194572  0.00
1979 1194472  0.00
1979 1194617  0.00
1979 119  52  0.00
1979 1194083  0.00
1979 1194004  0.00
1979 1194079  0.00
1979 1194954  0.00
1979 119 488  0.00
1979 119 483  0.00
1979 1204007  0.00
